眼鏡,"glasses, eyeglasses, spectacles",めがね,Noun,"judgment, judgement, discrimination, discernment, insight",,jlpt-n1 jlpt-n5usually_kana
煙草,"tobacco, cigarette, cigar",たばこ,Noun,tobacco plant (Nicotiana tabacum),,jlpt-n1 jlpt-n5usually_kana
塩,"salt, common salt, table salt, sodium chloride",塩[しお],Noun,"hardship, toil, trouble; saltiness; cold, unwelcoming, indifferent",,jlpt-n1 jlpt-n5
黄色,"yellow, amber",黄色[きいろ],"Noun, Noun which may take the genitive case particle 'no', Na-adjective ",,,jlpt-n1 jlpt-n5
灰皿,ashtray,灰皿[はいざら],Noun,,,jlpt-n1 jlpt-n5
可愛い,"cute, adorable, charming, lovely, pretty",かわいい,I-adjective ,"dear, precious, darling, pet; innocent, childlike, childish, lovable; dainty, little, tiny",,jlpt-n1 jlpt-n5usually_kana
音,"sound, noise",音[おと],Noun,(musical) note; fame,,jlpt-n1 jlpt-n3 jlpt-n4
赤ちゃん,"baby, infant",赤[あか]ちゃん,Noun,,,jlpt-n1 jlpt-n4
玩具,toy,おもちゃ,Noun,(person or thing treated as a) plaything,,jlpt-n1 jlpt-n4usually_kana
商人,"merchant, trader, tradesman, dealer, shopkeeper",商人[しょうにん],Noun,,,jlpt-n1 jlpt-n3
国境,"border (between countries), national border",国境[こっきょう],Noun,,,jlpt-n1 jlpt-n3
少女,"girl (usu. between 7 and 17), young lady",少女[しょうじょ],Noun,female between 17 and 20 years old (ritsuryō period),,jlpt-n1 jlpt-n3
釣り,"fishing, angling",釣[つ]り,Noun,"change (for a purchase); clickbaiting; trolling, bait, making deliberately inflammatory posts online",,jlpt-n1 jlpt-n3
銃,"gun, rifle, small arms",銃[じゅう],Noun,,,jlpt-n1 jlpt-n3
保証,"guarantee, security, assurance, pledge, warranty",保証[ほしょう],"Noun, Suru verb, Transitive verb",,,jlpt-n1 jlpt-n3
年寄り,"old person, elderly person, senior citizen",年寄[としよ]り,"Noun, Noun which may take the genitive case particle 'no'","trustee of the Japan Sumo Association, retired high-ranking wrestler who is licensed to coach and receives retirement pay; senior statesman (of the Tokugawa shogunate); important local official (under the Tokugawa Shogunate)",,jlpt-n1 jlpt-n3
平均,"average, mean",平均[へいきん],"Noun, Suru verb","balance, equilibrium",,jlpt-n1 jlpt-n3
雷,"lightning, thunder, thunderbolt",雷[かみなり],Noun,"god of thunder, god of lightning; anger, fit of anger",,jlpt-n1 jlpt-n3
位置,"place, position, location",位置[いち],"Noun, Suru verb, Intransitive verb","position, standing, status, situation",,jlpt-n1 jlpt-n3
日付,"date, dating",日付[ひづけ],Noun,,,jlpt-n1 jlpt-n3
天皇,Emperor of Japan,天皇[てんのう],Noun,,,jlpt-n1 jlpt-n2
屡々,"often, again and again, frequently, repeatedly",しばしば,Adverb ,,,jlpt-n1 jlpt-n3usually_kana
鼠,"mouse, rat",ねずみ,Noun,"dark gray, dark grey, slate (color, colour)",,jlpt-n1 jlpt-n3usually_kana
良い,"good, excellent, fine, nice, pleasant, agreeable",良[よ]い,I-adjective ,"sufficient, enough, ready, prepared; profitable (deal, business offer, etc.), beneficial; OK, all right, fine, no problem; easy to ...",,jlpt-n1 jlpt-n3 jlpt-n5
此の,this,この,Pre-noun adjectival ,"last (couple of years, etc.), these, past, this; you (as in ""you liar"")",,jlpt-n1 jlpt-n3 jlpt-n5usually_kana
誰,who,誰[だれ],Pronoun,,,jlpt-n1 jlpt-n5
作る,"to make, to produce, to manufacture, to build, to construct",作[つく]る,"Godan verb with 'ru' ending, Transitive verb","to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion; to form (a line, etc.); to set (a record); to commit (a sin, etc.)",,jlpt-n1 jlpt-n2 jlpt-n5
貴方,you,あなた,Pronoun,"dear, honey",,jlpt-n1 jlpt-n5usually_kana
行く,"to go, to move (towards), to head (towards), to leave (for)",行[い]く,"Godan verb - Iku/Yuku special class, Intransitive verb","to move through, to travel across, to walk along (e.g. a road); to go (well, badly, etc.), to proceed, to turn out, to get along; to do (in a particular way), to go (with; a choice), to try; to pass (of time, seasons, etc.), to go by; to stream, to flow; to die, to pass away; to reach (a stage, extent, age, etc.), to get to, to go (so far as ...); to reach (of information, instructions, wind, etc.), to arrive; to continue ..., to go on ..., to (progress) steadily, to gradually ..., to progressively ...; to have an orgasm, to come, to cum; to trip, to get high, to have a drug-induced hallucination",,jlpt-n1 jlpt-n5
終わる,"to end, to come to an end, to finish, to close, to be over",終[お]わる,"Godan verb with 'ru' ending, Intransitive verb","to finish, to complete, to conclude; to finish doing",,jlpt-n1 jlpt-n5
何の,"which, what (way)",どの,Pre-noun adjectival ,,,jlpt-n1 jlpt-n5usually_kana
余り,"remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers",あまり,"Noun, Noun which may take the genitive case particle 'no'","(not) very, (not) much; too much, excessively, overly; extreme, great, severe, tremendous, terrible; more than, over",,jlpt-n1 jlpt-n3 jlpt-n5usually_kana
面白い,"interesting, fascinating, intriguing, enthralling",面白[おもしろ]い,I-adjective ,"amusing, funny, comical; enjoyable, fun, entertaining, pleasant, agreeable; good, satisfactory, favourable, desirable, encouraging",,jlpt-n1 jlpt-n5
体,body,体[からだ],Noun,"torso, trunk; build, physique, frame, figure; health, constitution; corpse, dead body",,jlpt-n1 jlpt-n3 jlpt-n5
弟,"younger brother, little brother, kid brother",弟[おとうと],Noun,"brother-in-law (spouse's younger brother or younger sister's husband); pupil, apprentice",,jlpt-n1 jlpt-n5
切り,"end, finish, place to stop",きり,Noun,"bound, limit, end; delivery date (of a futures contract); finale (of a noh song), end of an act (in jōruri or kabuki), final performance of the day (in vaudeville); trump card; king (court card; in mekuri karuta and unsun karuta); counter for slices (esp. thick slices), counter for cuts (of fish, meat, etc.); only, just; (ever) since, after; continuously, remaining (in a particular state)",,jlpt-n1usually_kana
暇,"spare time, free time, leisure",暇[ひま],Noun,"time (it takes to do something), time required; time off, leave, vacation, holiday; dismissal, firing, severance, divorce; free, not busy, unoccupied, idle; slow (business), slack, dull; to be free, to be not busy, to be available, to be doing nothing",,jlpt-n1 jlpt-n5
明るい,"light, well-lit, well-lighted",明[あか]るい,I-adjective ,"bright (of a colour), brightly-coloured, brightly-colored; cheerful, bright, spirited, sunny (e.g. disposition); encouraging (for the future of a project, etc.), promising, of fair prospects; familiar (with), knowledgeable (about), well versed (in); fair (e.g. politics), clean, impartial",,jlpt-n1 jlpt-n5
始め,"beginning, start, outset, opening",始[はじ]め,"Noun, Adverb ","first (in line, etc.); origin; such as ..., not to mention ...",,jlpt-n1 jlpt-n5
三,"three, 3",三[さん],Numeric,,,jlpt-n1 jlpt-n5
六,"six, 6",六[ろく],Numeric,,,jlpt-n1 jlpt-n5
其れ,"that, it",それ,Pronoun,"then, that point (in time), that time; there; you",,jlpt-n1 jlpt-n3 jlpt-n5usually_kana
迚も,"very, awfully, exceedingly",とても,Adverb ,"(not) at all, by no means, simply (cannot)",,jlpt-n1 jlpt-n5usually_kana
