周り,"circumference, girth",周[まわ]り,Noun,"surroundings, neighbourhood, neighborhood, vicinity; people surrounding oneself, surrounding circumstances",,jlpt-n4
学校,school,学校[がっこう],Noun,,,jlpt-n5
川,"river, stream",川[かわ],Noun,"River, the ... river",,jlpt-n3 jlpt-n5
手,"hand, arm",手[て],Noun,"forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards); direction; move (in go, shogi, etc.)",,jlpt-n5
戸,door (esp. Japanese-style),戸[と],Noun,"shutter, window shutter; entrance (to a home); narrows",,jlpt-n5
眼鏡,"glasses, eyeglasses, spectacles",めがね,Noun,"judgment, judgement, discrimination, discernment, insight",,jlpt-n1 jlpt-n5usually_kana
煙草,"tobacco, cigarette, cigar",たばこ,Noun,tobacco plant (Nicotiana tabacum),,jlpt-n1 jlpt-n5usually_kana
赤,"red, crimson, scarlet",赤[あか],"Noun, Noun which may take the genitive case particle 'no'","red-containing colour (e.g. brown, pink, orange); Red (i.e. communist); red light (traffic); red ink (i.e. in finance or proof-reading), (in) the red; complete, total, perfect, obvious; copper; red 5-point card",,jlpt-n5
仕事,"work, job, labor, labour, business, task, assignment, occupation, employment",仕事[しごと],"Noun, Suru verb, Intransitive verb",work,,jlpt-n5
英語,English (language),英語[えいご],Noun,,,jlpt-n5
問題,"question (e.g. on a test), problem",問題[もんだい],Noun,"problem (e.g. societal, political), question, issue, subject (e.g. of research), case, matter; question (i.e. doubt); public discussion, controversy; trouble, problem, inconvenience, difficulty",,jlpt-n5
部屋,"room, chamber",部屋[へや],Noun,"apartment, flat, pad; stable",,jlpt-n5
子供,"child, children",子供[こども],Noun,,,jlpt-n5
時間,time,時間[じかん],Noun,"hour; period, class, lesson",,jlpt-n5
雨,rain,雨[あめ],Noun,"rainy day, rainy weather; the November suit (in hanafuda)",,jlpt-n5
先生,"teacher, instructor, master",先生[せんせい],Noun,"sensei, title or form of address for a teacher, master, doctor, lawyer, etc.; intimate or teasing form of address; one's elder",,jlpt-n5
年,year,年[とし],"Noun, Adverb ","age, years; past one's prime, old age",,jlpt-n5
手紙,"letter, missive, note, mail",手紙[てがみ],Noun,,,jlpt-n5
電話,"telephone call, phone call",電話[でんわ],"Noun, Suru verb, Noun which may take the genitive case particle 'no'","telephone (device), phone",,jlpt-n5
水,"water (esp. cool, fresh water, e.g. drinking water)",水[みず],Noun,"fluid (esp. in an animal tissue), liquid; flood, floodwaters; water offered to wrestlers just prior to a bout; break granted to wrestlers engaged in a prolonged bout",,jlpt-n5
