上る,"to ascend, to go up, to climb",上[のぼ]る,"Godan verb with 'ru' ending, Intransitive verb","to ascend (as a natural process, e.g. the Sun), to rise; to go to (the capital); to be promoted; to add up to; to advance (in price); to swim up (a river), to sail up; to come up (on the agenda)",,jlpt-n2 jlpt-n3 jlpt-n5
飛ぶ,"to fly, to soar",飛[と]ぶ,"Godan verb with 'bu' ending, Intransitive verb","to jump, to leap, to spring, to bound, to hop; to spatter, to scatter, to splash, to fly (e.g. of sparks); to hurry, to rush; to flee, to run off, to escape; to disappear, to vanish, to fade, to thin out; to break off, to come off, to fall off, to blow (of a fuse); to be sent out (of an order), to fly (of false rumours, catcalls, etc.); to come flying (of a punch, kick, etc.); to be missing (of a page, stitch, etc.), to skip, to jump (e.g. of a conversation)",,jlpt-n2 jlpt-n5
止まる,"to stop (moving), to come to a stop",止[と]まる,"Godan verb with 'ru' ending, Intransitive verb","to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended; to alight, to perch on",,jlpt-n2 jlpt-n5
勤める,"to work (for), to be employed (at), to serve (in)",勤[つと]める,"Ichidan verb, Transitive verb","to serve (as), to act (as), to fill (the position of), to play the role (of); to conduct a religious service",,jlpt-n2 jlpt-n5
丸い,"round, circular, spherical",丸[まる]い,I-adjective ,"curved, smooth; harmonious, calm, peaceful, amiable, amicable",,jlpt-n2 jlpt-n3 jlpt-n5
一昨年,year before last,一昨年[おととし],"Noun, Adverb ",,,jlpt-n2 jlpt-n5
会う,"to meet, to encounter, to see",会[あ]う,"Godan verb with 'u' ending, Intransitive verb","to have an accident, to have a bad experience",,jlpt-n2 jlpt-n5
分かる,"to understand, to comprehend, to grasp, to see, to get, to follow",わかる,"Godan verb with 'ru' ending, Intransitive verb","to become clear, to be known, to be discovered, to be realized, to be realised, to be found out; I know!, I think so too!",,jlpt-n2 jlpt-n5usually_kana
出掛ける,"to go out (e.g. on an excursion or outing), to leave, to depart, to start, to set out",出掛[でか]ける,"Ichidan verb, Intransitive verb","to be about to leave, to be just going out",,jlpt-n2 jlpt-n5
付ける,"to attach, to join, to connect, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to put against",つける,"Ichidan verb, Transitive verb","to furnish (a house with); to wear, to put on; to keep a diary, to make an entry; to appraise, to set (a price); to allot, to budget, to assign; to bring alongside; to place (under guard or doctor); to follow (someone), to shadow, to tail, to stalk; to load, to give (courage to); to keep (an eye on); to establish (relations or understanding); to turn on (a light); to produce flowers (of a plant), to produce fruit; to do intensely, to do fiercely, to do strongly; to be used to (doing), to be accustomed to",,jlpt-n2 jlpt-n3 jlpt-n5usually_kana
無くす,to lose (something),なくす,"Godan verb with 'su' ending, Transitive verb","to get rid of, to eliminate, to remove, to eradicate, to abolish",,jlpt-n2 jlpt-n5usually_kana
奥さん,"wife, your wife, his wife, married lady, madam",奥[おく]さん,Noun,,Honorific or respectful (sonkeigo) language,jlpt-n2 jlpt-n5
再来年,year after next,再来年[さらいねん],"Noun, Adverb ",,,jlpt-n2 jlpt-n5
面接,interview (e.g. for a job),面接[めんせつ],"Noun, Suru verb, Intransitive verb",,,jlpt-n2
資料,"material, materials, data, information, documents",資料[しりょう],Noun,,,jlpt-n2
望遠鏡,telescope,望遠鏡[ぼうえんきょう],Noun,,,jlpt-n2
群れ,"group, crowd, flock, herd, bevy, school, swarm, cluster (e.g. of stars), clump, pack (e.g. of dogs)",群[む]れ,Noun,,,jlpt-n2
解放,"release, unleashing, liberation, emancipation, setting free",解放[かいほう],"Noun, Suru verb, Transitive verb",deallocation (of computer memory),,jlpt-n2
唇,"lip, lips",唇[くちびる],Noun,,,jlpt-n2
液体,liquid,液体[えきたい],Noun,,,jlpt-n2
書店,"bookshop, bookstore",書店[しょてん],Noun,,,jlpt-n2
温泉,hot spring,温泉[おんせん],Noun,"onsen, hot spring resort, hot spring spa",,jlpt-n2
演劇,"drama, theatre, theater, play",演劇[えんげき],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
通勤,commuting to work,通勤[つうきん],"Noun, Suru verb, Intransitive verb",,,jlpt-n2
果実,"fruit, nut, berry",果実[かじつ],Noun,"fruits, profit",,jlpt-n2
煙突,"chimney, smokestack, funnel (of a ship), stovepipe",煙突[えんとつ],Noun,carrying a passenger without turning on the taximeter,,jlpt-n2
垣根,"hedge, fence",垣根[かきね],Noun,"border, limit",,jlpt-n2
井戸,water well,井戸[いど],Noun,,,jlpt-n2
過失,"accident (caused by negligence), error, blunder",過失[かしつ],Noun,"fault, defect",,jlpt-n2
広場,"public square, square, plaza, piazza, forum",広場[ひろば],Noun,"open space, clearing",,jlpt-n2
皮膚,skin,皮膚[ひふ],Noun,,,jlpt-n2
乾燥,"dryness, aridity, drying (e.g. clothes), dehydration, desiccation",乾燥[かんそう],"Noun, Suru verb, Transitive verb, Intransitive verb",insipidity,,jlpt-n2
電池,"battery, cell",電池[でんち],Noun,,,jlpt-n2
矛盾,"contradiction, inconsistency",矛盾[むじゅん],"Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'",,,jlpt-n2
通訳,interpretation (i.e. oral translation),通訳[つうやく],"Noun, Suru verb, Transitive verb",interpreter,,jlpt-n2
宣伝,"publicity, advertisement, advertising, propaganda",宣伝[せんでん],"Noun, Suru verb, Transitive verb",,,jlpt-n2
花火,fireworks,花火[はなび],Noun,,,jlpt-n2
水素,hydrogen (H),水素[すいそ],Noun,,,jlpt-n2
車庫,"garage, carport, depot (for trains, buses, etc.), carbarn",車庫[しゃこ],Noun,,,jlpt-n2
中世,"Middle Ages (in Japan esp. the Kamakura and Muromachi periods), medieval times, mediaeval times",中世[ちゅうせい],Noun,,,jlpt-n2
虹,rainbow,虹[にじ],Noun,,,jlpt-n2
相撲,sumo (wrestling),相撲[すもう],Noun,"sumo wrestler, rikishi",,jlpt-n2
観念,"idea, notion, concept, conception",観念[かんねん],Noun,"sense (e.g. of duty); resignation (to one's fate), acceptance, preparedness; observation and contemplation, meditation",,jlpt-n2
回転,"rotation, revolution, turn, spin",回転[かいてん],"Noun, Suru verb, Intransitive verb","working (e.g. of one's mind), function; turnover (of goods, funds, etc.), circulation, flow (of customers); rotation, curl; slalom",,jlpt-n2
通貨,currency,通貨[つうか],Noun,,,jlpt-n2
火山,volcano,火山[かざん],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
基礎,"foundation, basis",基礎[きそ],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
競馬,horse racing,競馬[けいば],Noun,,,jlpt-n2
枕,"pillow, bolster",枕[まくら],"Noun, Noun, used as a suffix","introduction (e.g. to a rakugo story), lead-in",,jlpt-n2
吹雪,"snow storm, blizzard",吹雪[ふぶき],Noun,,,jlpt-n2
鐘,"bell (often a large hanging bell), chime",鐘[かね],Noun,,,jlpt-n2
停電,"power outage, electricity outage, blackout, failure of electricity supply",停電[ていでん],"Noun, Suru verb, Intransitive verb",,,jlpt-n2
空想,"daydream, fantasy, fancy, vision",空想[くうそう],"Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'",,,jlpt-n2
政党,political party,政党[せいとう],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
灰色,"grey, gray, ashen",灰色[はいいろ],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
毛皮,"fur, skin, pelt",毛皮[けがわ],"Noun, Noun which may take the genitive case particle 'no'","kanji ""fur"" radical",,jlpt-n2
公害,"pollution, public nuisance, contamination",公害[こうがい],Noun,,,jlpt-n2
公共,"public (facilities, service, etc.), communal",公共[こうきょう],"Noun which may take the genitive case particle 'no', Noun",,,jlpt-n2
足跡,footprints,足跡[あしあと],Noun,record of page visitors (e.g. in social networking sites),,jlpt-n2
牧場,"farm (livestock), stock farm, ranch, station",牧場[ぼくじょう],Noun,"pasture, meadow, grazing land",,jlpt-n2
公式,"official, formal",公式[こうしき],"Noun which may take the genitive case particle 'no', Noun","formula (e.g. mathematical); official (social media) account (of a company, organization, etc.)",,jlpt-n2
百科事典,"encyclopedia, encyclopaedia",百科事典[ひゃっかじてん],Noun,,,jlpt-n1 jlpt-n2
名所,"famous place, noted place, place of (scenic or historical) interest, sights (to see)",名所[めいしょ],Noun,,,jlpt-n2
強化,"strengthening, intensifying, reinforcement, enhancement, solidification",強化[きょうか],"Noun, Suru verb, Transitive verb",reinforcement,,jlpt-n2
血液,blood,血液[けつえき],Noun,,,jlpt-n2
車輪,(vehicle) wheel,車輪[しゃりん],Noun,,,jlpt-n2
死体,"dead body, corpse, cadaver, carcass",死体[したい],Noun,,,jlpt-n2
姿勢,"posture, pose, position, stance, carriage (of the body)",姿勢[しせい],Noun,"attitude, approach, stance",,jlpt-n2
蒸気,"steam, vapour, vapor",蒸気[じょうき],Noun,"steamboat, steam locomotive",,jlpt-n2
文体,literary style,文体[ぶんたい],Noun,"form of (written) language (e.g. classical, modern)",,jlpt-n2
看板,"signboard, sign, billboard, hoarding, doorplate",看板[かんばん],Noun,"draw, attraction, feature, highlight, spokesman, figurehead; reputation (of a shop), name; appearance, look, show; closing (for the day, esp. of a restaurant or bar), closing time",,jlpt-n2
神話,"myth, legend",神話[しんわ],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
磁石,magnet,磁石[じしゃく],"Noun, Noun which may take the genitive case particle 'no'",compass,,jlpt-n2
乗り換え,"transfer (trains, buses, etc.), change, connection",乗[の]り 換[か]え,"Noun, Suru verb, Intransitive verb","switch (to another ideology, party, system, method, etc.), change, conversion; switching (stock); chromosomal crossover, crossing over",,jlpt-n1 jlpt-n2
薬局,"pharmacy, drugstore, chemist's (shop)",薬局[やっきょく],Noun,"hospital pharmacy, dispensary",,jlpt-n2
森林,"forest, woods",森林[しんりん],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
大工,carpenter,大工[だいく],Noun,,,jlpt-n2
方言,"dialect, provincialism",方言[ほうげん],Noun,,,jlpt-n2
滝,waterfall,滝[たき],Noun,rapids,,jlpt-n2
東洋,"the East, the Orient, (East) Asia",東洋[とうよう],Noun,Japan,,jlpt-n2
家屋,"house, building",家屋[かおく],Noun,,,jlpt-n2
酢,vinegar,酢[す],Noun,,,jlpt-n2
電力,electric power,電力[でんりょく],Noun,,,jlpt-n2
顕微鏡,microscope,顕微鏡[けんびきょう],Noun,,,jlpt-n2
面積,"area (measurement), square measure, size (of land), floor space",面積[めんせき],Noun,,,jlpt-n2
寮,"hostel, dormitory",寮[りょう],Noun,bureau (government department beneath a ministry under the ritsuryō system); tea-ceremony room; villa,,jlpt-n2
撮影,"photography (still or motion), photographing, filming, shooting, (video) recording",撮影[さつえい],"Noun, Suru verb, Transitive verb",,,jlpt-n2
血圧,blood pressure,血圧[けつあつ],Noun,,,jlpt-n2
反省,"reflection, reconsideration, introspection, meditation, contemplation",反省[はんせい],"Noun, Suru verb, Transitive verb","regret, repentance, remorse, being sorry",,jlpt-n2
将棋,"shogi, Japanese chess",将棋[しょうぎ],Noun,,,jlpt-n2
継続,"continuation, continuance, going on",継続[けいぞく],"Noun, Suru verb, Transitive verb, Intransitive verb",,,jlpt-n2
刺身,"sashimi (raw sliced fish, shellfish or crustaceans)",刺身[さしみ],Noun,,,jlpt-n2
国籍,"nationality, citizenship",国籍[こくせき],Noun,"nationality (ship, airplane, etc.), registration, flag",,jlpt-n2
診断,"diagnosis, medical examination",診断[しんだん],"Noun, Suru verb, Transitive verb",,,jlpt-n2
給与,"pay, salary, wages",給与[きゅうよ],Noun,"allowance, grant, supply, providing with",,jlpt-n2
無限,"infinity, infinitude, eternity",無限[むげん],Noun,"infinite, limitless",,jlpt-n2
直線,straight line,直線[ちょくせん],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
伝記,"biography, life story",伝記[でんき],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
楽器,musical instrument,楽器[がっき],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
明け方,"dawn, daybreak",明[あ]け 方[がた],"Noun, Adverb ",,,jlpt-n2
銅,copper (Cu),銅[どう],Noun,bronze (medal),,jlpt-n1 jlpt-n2
包装,"packing, wrapping",包装[ほうそう],"Noun, Suru verb, Transitive verb",,,jlpt-n2
香水,"perfume, scent",香水[こうすい],Noun,,,jlpt-n2
噴火,"eruption, volcanic eruption",噴火[ふんか],"Noun, Suru verb, Intransitive verb",,,jlpt-n2
倉庫,"storehouse, warehouse, godown",倉庫[そうこ],Noun,,,jlpt-n2
手首,wrist,手首[てくび],Noun,,,jlpt-n2
彫刻,"carving, engraving, sculpture",彫刻[ちょうこく],"Noun, Suru verb, Transitive verb, Intransitive verb",,,jlpt-n2
姓,"surname, family name",姓[せい],Noun,hereditary title (used in ancient Japan to denote rank and political standing),,jlpt-n2
深夜,late at night,深夜[しんや],"Noun, Adverb ",,,jlpt-n2
園芸,"horticulture, gardening",園芸[えんげい],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
和服,Japanese clothes,和服[わふく],Noun,,,jlpt-n2
先祖,"ancestor, forefather, foremother",先祖[せんぞ],Noun,,,jlpt-n2
煮る,"to boil, to simmer, to stew, to seethe",煮[に]る,"Ichidan verb, Transitive verb",,,jlpt-n2
行列,"line, queue, procession, parade",行列[ぎょうれつ],"Noun, Suru verb",matrix,,jlpt-n2
表紙,"cover (of a book, magazine, etc.), binding",表紙[ひょうし],Noun,to appear on the cover of a magazine,,jlpt-n2
商社,trading company,商社[しょうしゃ],Noun,,,jlpt-n2
竹,bamboo (any grass of subfamily Bambusoideae),竹[たけ],Noun,middle (of a three-tier ranking system),,jlpt-n2
分布,"distribution, allocation",分布[ぶんぷ],"Noun, Suru verb, Intransitive verb",,,jlpt-n2
統一,"unity, consolidation, uniformity, unification, compatible",統一[とういつ],"Noun, Suru verb, Transitive verb",,,jlpt-n2
記号,"symbol, code, sign, notation",記号[きごう],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
学年,"academic year, school year",学年[がくねん],Noun,"year in school, grade in school",,jlpt-n2
電柱,"utility pole, power pole, telephone pole, telegraph pole",電柱[でんちゅう],Noun,,,jlpt-n2
包丁,"kitchen knife, carving knife",包丁[ほうちょう],Noun,"cooking, food",,jlpt-n2
手前,"before oneself, in front of one, nearby",手前[てまえ],Noun,"a bit before reaching (a location), this side (of a location); one's standpoint, one's appearance, face, honour; skill, dexterity, artistry, ingenuity; tea-ceremony procedures; I, me; you",,jlpt-n2
太鼓,drum,太鼓[たいこ],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
引き分け,"draw (in competition), tie game",引[ひ]き 分[わ]け,Noun,,,jlpt-n1 jlpt-n2
測定,measurement,測定[そくてい],"Noun, Suru verb, Transitive verb",,,jlpt-n2
古典,"classic (work, esp. book), the classics",古典[こてん],Noun,,,jlpt-n2
温室,"greenhouse, hothouse, conservatory, glasshouse",温室[おんしつ],Noun,,,jlpt-n2
原理,"principle, theory, fundamental truth",原理[げんり],Noun,,,jlpt-n2
淡水,fresh water (i.e. not salt water),淡水[たんすい],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
体操,"gymnastics, physical exercises",体操[たいそう],"Noun, Suru verb, Intransitive verb","artistic gymnastics, gymnastics competition",,jlpt-n2
口紅,lipstick,口紅[くちべに],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
農産物,agricultural produce,農産物[のうさんぶつ],Noun,,,jlpt-n2
中年,"middle-age, middle age, midlife, one's middle years",中年[ちゅうねん],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
平日,"weekday, ordinary days (i.e. non-holiday)",平日[へいじつ],"Adverb , Noun",kanji radical 73,,jlpt-n2
電球,light bulb,電球[でんきゅう],Noun,,,jlpt-n2
親指,thumb,親指[おやゆび],Noun,big toe,,jlpt-n2
集合,"meeting up, gathering, assembly",集合[しゅうごう],"Noun, Suru verb",set,,jlpt-n2
編集,"editing, compilation",編集[へんしゅう],"Noun, Suru verb, Transitive verb",,,jlpt-n2
通路,"passage, pathway, roadway, avenue, aisle",通路[つうろ],Noun,,,jlpt-n2
算数,arithmetic,算数[さんすう],Noun,calculation,,jlpt-n2
光線,"beam, light ray",光線[こうせん],Noun,,,jlpt-n2
水平,"horizontal, level, even",水平[すいへい],"Na-adjective , Noun which may take the genitive case particle 'no', Noun",,,jlpt-n2
性別,"gender, distinction of sex, sex",性別[せいべつ],Noun,,,jlpt-n2
水蒸気,"water vapour, water vapor, steam",水蒸気[すいじょうき],Noun,,,jlpt-n2
餅,"mochi, (sticky) rice cake",餅[もち],Noun,,,jlpt-n2
交流,"exchange (e.g. cultural), interchange, interaction, mingling, mixing, coming together",交流[こうりゅう],"Noun, Suru verb, Intransitive verb","alternating current, AC",,jlpt-n2
確率,"probability, likelihood, chances",確率[かくりつ],Noun,,,jlpt-n2
税関,"customs, customs house",税関[ぜいかん],Noun,,,jlpt-n2
水分,"water, liquid, fluid, moisture, humidity, sap, juice",水分[すいぶん],Noun,,,jlpt-n2
摩擦,"friction, rubbing, chafing",摩擦[まさつ],"Noun, Suru verb, Transitive verb, Intransitive verb","discord, friction, strife, conflict",,jlpt-n2
湿度,level of humidity,湿度[しつど],Noun,,,jlpt-n2
自然科学,natural science,自然科学[しぜんかがく],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
文房具,stationery,文房具[ぶんぼうぐ],Noun,,,jlpt-n2
垂直,vertical,垂直[すいちょく],"Na-adjective , Noun which may take the genitive case particle 'no', Noun",perpendicular,,jlpt-n2
電波,"radio wave, reception, signal",電波[でんぱ],Noun,saying strange things,,jlpt-n2
大学院,graduate school,大学院[だいがくいん],Noun,,,jlpt-n2
吐き気,"nausea, feeling like throwing up, feeling sick",吐[は]き 気[け],Noun,,,jlpt-n2
電流,electric current,電流[でんりゅう],Noun,,,jlpt-n2
洗剤,"detergent, cleanser, cleaning agent, washing material",洗剤[せんざい],Noun,,,jlpt-n2
貨物,"cargo, freight",貨物[かもつ],Noun,money or assets,,jlpt-n2
車掌,(train) conductor,車掌[しゃしょう],Noun,,,jlpt-n2
代名詞,pronoun,代名詞[だいめいし],Noun,"synonym, classic example, pattern, byword, representative",,jlpt-n2
祝日,"national holiday, public holiday",祝日[しゅくじつ],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
灯台,lighthouse,灯台[とうだい],Noun,old-fashioned interior light fixture comprising a wooden pole with an oil-filled dish and a wick atop it,,jlpt-n2
歯車,"gear, cogwheel",歯車[はぐるま],Noun,"cog (in an organization, company, etc.), cog in the machine",,jlpt-n2
役所,"government office, public office",役所[やくしょ],Noun,,,jlpt-n2
幼稚園,"kindergarten, nursery school, preschool",幼稚園[ようちえん],Noun,,,jlpt-n2
透明,"transparent, clear",透明[とうめい],"Na-adjective , Noun which may take the genitive case particle 'no', Noun",,,jlpt-n2
童話,"children's story, fairy tale",童話[どうわ],Noun,,,jlpt-n2
冠,traditional cap worn by Shinto clergy and courtiers,冠[かんむり],Noun,"crown, diadem, coronet; top kanji radical; first verse of a haikai, etc.; best, peerless, first; name, title, named sponsorship of a program, event, team, etc.; counter for titles",,jlpt-n1 jlpt-n2
会館,"meeting hall, assembly hall",会館[かいかん],Noun,,,jlpt-n2
漁業,"fishing industry, fishery",漁業[ぎょぎょう],Noun,,,jlpt-n2
工夫,"devising (a way), contriving, inventing, thinking up, figuring out, coming up with, working out",工夫[くふう],"Noun, Suru verb, Transitive verb","device, design, idea, plan, invention; dedication to spiritual improvement (esp. through Zen meditation)",,jlpt-n2
紫,"purple, violet",紫[むらさき],"Noun, Noun which may take the genitive case particle 'no'","purple gromwell (Lithospermum erythrorhizon), red gromwell, red-root gromwell; soy sauce",,jlpt-n2
随筆,"essays, miscellaneous writings, literary jottings",随筆[ずいひつ],Noun,,,jlpt-n2
発電,generation (e.g. power),発電[はつでん],"Noun, Suru verb, Noun which may take the genitive case particle 'no'",,,jlpt-n2
重力,"gravity, gravitation, gravitational pull",重力[じゅうりょく],Noun,,,jlpt-n2
司会,"leading a meeting, presiding over a meeting, officiating at a ceremony, chairmanship",司会[しかい],"Noun, Suru verb, Transitive verb, Intransitive verb","chairman, presenter, host, moderator, master of ceremonies",,jlpt-n2
流域,"drainage basin, catchment basin, river basin, watershed, valley",流域[りゅういき],Noun,,,jlpt-n2
農薬,"agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical",農薬[のうやく],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
接続,"connection, attachment, union, join, joint, link",接続[せつぞく],"Noun, Suru verb",changing trains; conjunction,,jlpt-n2
学部,department of a university,学部[がくぶ],"Noun, Noun which may take the genitive case particle 'no'","undergraduate (course, program, etc.)",,jlpt-n2
半島,peninsula,半島[はんとう],Noun,Korea,,jlpt-n2
転々,"moving from place to place, being passed around repeatedly",転々[てんてん],"Adverb , Adverb taking the 'to' particle, Noun, Suru verb",rolling about,,jlpt-n1 jlpt-n2
真空,"vacuum, hollow, empty",真空[しんくう],"Na-adjective , Noun",,,jlpt-n2
気圧,atmospheric pressure,気圧[きあつ],Noun,,,jlpt-n2
官庁,"government office, government agency, authorities",官庁[かんちょう],Noun,,,jlpt-n2
頂点,"vertex, apex",頂点[ちょうてん],Noun,"top (e.g. of a mountain), summit, peak; top (of a profession, field, etc.), summit; peak (of popularity, a boom, etc.), height (e.g. of prosperity), apex, zenith, climax",,jlpt-n2
圧縮,compression,圧縮[あっしゅく],"Noun, Suru verb, Transitive verb","condensing, shortening, summarizing; compression (of data)",,jlpt-n2
郡,"district, county",郡[ぐん],Noun,"district (of 2-20 50-home neighbourhoods or townships, in the ritsuryō period); commandery (in China)",,jlpt-n2
炭鉱,"coal mine, (coal) pit, colliery",炭鉱[たんこう],Noun,coal-mine shaft,,jlpt-n2
社会科学,social science,社会科学[しゃかいかがく],Noun,,,jlpt-n2
図鑑,"pictorial book, picture book, illustrated reference book, identification manual, field guide",図鑑[ずかん],Noun,,,jlpt-n2
峠,"(mountain) pass, highest point on a mountain road, ridge",峠[とうげ],"Noun, Noun, used as a suffix","peak (e.g. of summer), worst (e.g. of an illness), crisis, critical point, most difficult part",,jlpt-n2
紙幣,"paper money, note, bill",紙幣[しへい],Noun,,,jlpt-n2
工芸,"industrial arts, craft",工芸[こうげい],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n2
自治,"self-government, autonomy",自治[じち],Noun,local (governmental) autonomy,,jlpt-n2
索引,index (in a book),索引[さくいん],Noun,,,jlpt-n2
学会,"learned society, scientific society, academy, academic meeting, academic conference",学会[がっかい],Noun,,,jlpt-n2
献立,"menu, bill of fare",献立[こんだて],Noun,"program, programme, schedule",,jlpt-n2
筆記,"(taking) notes, copying",筆記[ひっき],"Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'",,,jlpt-n2
機関車,"locomotive, engine",機関車[きかんしゃ],Noun,,,jlpt-n2
為替,"money order, draft",為替[かわせ],Noun,exchange (e.g. foreign),,jlpt-n2
杉,Japanese cedar (Cryptomeria japonica),杉[すぎ],Noun,,,jlpt-n2
