上げる,"to raise, to elevate",上[あ]げる,"Ichidan verb, Transitive verb","to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); to give; to send someone (away); to enrol (one's child in school), to enroll; to increase (price, quality, status, etc.), to develop (talent, skill), to improve; to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to summon (for geishas, etc.); to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; to do for (the sake of someone else); to complete ...; to humbly do ...",,jlpt-n2 jlpt-n4 jlpt-n5
箸,chopsticks,箸[はし],Noun,,,jlpt-n2 jlpt-n5
茶わん,"rice bowl, tea cup, teacup",茶[ちゃ]わん,Noun,,,jlpt-n2 jlpt-n5
石鹸,soap,石鹸[せっけん],Noun,,,jlpt-n2 jlpt-n5
髭,"moustache, mustache, beard, whiskers, sideburns",ひげ,Noun,"whiskers (on a cat, etc.), feelers (on an insect, etc.), (chin) tuft; shadow (on a candlestick chart)",,jlpt-n2 jlpt-n4usually_kana
機械,"machine, mechanism",機械[きかい],Noun,"instrument, appliance, apparatus",,jlpt-n2 jlpt-n3
羽,"feather, plume, down",羽[はね],Noun,"wing; blade (of a fan, propeller, etc.); shuttlecock (in badminton); shuttlecock (in hanetsuki); arrow feathers",,jlpt-n2 jlpt-n3
儀式,"ceremony, rite, ritual, service",儀式[ぎしき],Noun,,,jlpt-n2
南極,South Pole,南極[なんきょく],Noun,"the Antarctic, Antarctica",,jlpt-n2
職人,"craftsman, artisan, tradesman, worker, workman",職人[しょくにん],Noun,,,jlpt-n2
北極,North Pole,北極[ほっきょく],Noun,the Arctic,,jlpt-n2
昼寝,"(afternoon) nap, sleeping during the day, siesta",昼寝[ひるね],"Noun, Suru verb, Intransitive verb",,,jlpt-n2
新幹線,"Shinkansen, bullet train",新幹線[しんかんせん],Noun,,,jlpt-n2
木材,"lumber, timber, wood",木材[もくざい],Noun,,,jlpt-n2
大通り,"main street, avenue, boulevard",大通[おおどお]り,Noun,,,jlpt-n2
運河,"(navigable) canal, waterway",運河[うんが],Noun,,,jlpt-n2
遊園地,amusement park,遊園地[ゆうえんち],Noun,,,jlpt-n2
蛇口,"faucet, tap",蛇口[じゃぐち],Noun,,,jlpt-n2
天皇,Emperor of Japan,天皇[てんのう],Noun,,,jlpt-n1 jlpt-n2
溶岩,lava,溶岩[ようがん],Noun,,,jlpt-n2
武士,"samurai, warrior",武士[ぶし],Noun,,,jlpt-n2
名字,"surname, family name, last name",名字[みょうじ],Noun,,,jlpt-n2
在る,"to be, to exist, to live",ある,"Godan verb with 'ru' ending , Intransitive verb","to have; to be located; to be equipped with; to happen, to come about",,jlpt-n2 jlpt-n3 jlpt-n5usually_kana
作る,"to make, to produce, to manufacture, to build, to construct",作[つく]る,"Godan verb with 'ru' ending, Transitive verb","to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion; to form (a line, etc.); to set (a record); to commit (a sin, etc.)",,jlpt-n1 jlpt-n2 jlpt-n5
長い,"long (distance, length)",長[なが]い,I-adjective ,"long (time), protracted, prolonged",,jlpt-n2 jlpt-n5
立つ,"to stand (up), to rise, to get to one's feet, to stand on end (e.g. of hairs), to stick up",立[た]つ,"Godan verb with 'tsu' ending, Intransitive verb","to stand (in a position; of a person, tree, building, etc.), to be situated (in, on); to be (in difficulties, the lead, etc.), to put oneself (in a position or situation), to take up (a position, post, etc.), to position oneself; to leave (to do something); to depart (on a journey, trip, etc.), to leave, to set off, to start; to get stuck (into; of an arrow, thorn etc.), to pierce; to develop (of a haze, waves, etc.), to form (of steam, bubbles, etc.), to appear (of a rainbow, clouds, etc.), to rise (of smoke, waves, etc.), to begin to blow (of a wind, breeze, etc.); to spread (of a rumour, reputation, etc.), to be become widely known; to stand (for election), to run; to take action, to act, to rise (up), to rouse oneself; to be established (of a policy, plan, objective, etc.), to be formed; to be valid (of an argument, logic, etc.), to hold up, to hold water, to stand up (e.g. of evidence), to be logical, to be reasonable; to be sustained (of a living, business, etc.), to be maintained, to survive, to be preserved (of one's reputation, honour, etc.), to be saved; to start (of a season), to begin; to be held (of a market); to shut (of a door, shoji, etc.), to be shut, to be closed; to be (the result of a division)",,jlpt-n2 jlpt-n5
